SAMPLE ID,ACCESSION NUMBER,TRANSECT NAME,STREAM ABBREVIATION,LATITUDE_DD,LONGITUDE_DD,COLLECTION DATE,SEASON,MAT TYPE,AFDM (mg/cm2),CHL-A (ug/cm2),TOTAL_ANNUAL_DISCHARGE (L),VALVES COUNTED PER SAMPLE,Unknown,Marine diatom fragments,record_no,region,Achnanthes,Psammothidium papilio,Psammothidium germainii,Achnanthes taylorensis,Amphora,Amphora cf. oligotraphenta,Craticula molestiformis,Humidophila,Humidophilia arcuata var. parallela,Humidophila australis,Humidophila arcuata,Microcostatus naumannii,Fistulifera,Fistulifera pelliculosa,Hantzschia,Hantzschia amphioxys,Hantzschia abundans,Hantzschia sp. #2,Hantzschia hyperaustralis,Hantzschia amphioxys f. muelleri,Luticola,Luticola bradyi,Luticola gaussii,Luticola laeta,Luticola murrayi,Luticola mutica,Luticola muticopsis,Luticola dolia,Luticola permuticopsis,Luticola mcknightiae,Luticola muticopsis fo. reducta,Luticola austroatlantica,Mayamaea,Mayamaea atomus var. #1,Mayamaea atomus,Mayamaea atomus fo. permitis,Muelleria,Muelleria meridionalis,Muelleria peraustralis,Muelleria supra,Navicula,Navicula seibigiana,Navicula gregaria,Navicula shackletoni,Navicula gregaria_1,Nitzschia,Nitzschia australocommutata,Nitzschia sp. #2,Nitzschia westiorum,Pinnularia,Pinnularia borealis,Chamaepinnularia cymatopleura,Chamaepinnularia quaternaria,Chamaepinnularia deltaica,Chamaepinnularia cymatopleura var. #3,Stauroneis latistauros,Stauronella,Craspedostauros laevissiumus,Melosira charcotii,Luticola sp. #2,Luticola spp.,Hantzschia spp.,Navicula lineola var. perlepida,Luticola sp. #3,Muelleria cryoconicola,Luticola australomutica,Achnanthidium minutissimum,Adlafia bryophila,Amphora veneta,Aulacoseira distans,Chamaepinnularia sp.#2,Frankophila maillardii,Frustulia vulgaris,Luticola muticopsis_1,Mayamaea fossalis var. fossalis,Melosira echinata,Muelleria luculenta,Nitzschia angustatula,Nitzschia fonticola,Nitzschia sp.#1,Pinnuavis genustriata,Pinnularia kolbei,Pinnularia pisciculus,Planothidium delicatulum,Planothidium quadripunctatum,Rhopalodia rupestris,Stauroneis smithii var. sagitta,Tabularia fasciculata,Chamaepinnularia aliena,Hantzschia elongata,Luticola elegans,Luticola transantarctica
08DEG2013B02,2276,Delta Gauge,DEG,-77.6532222,163.0996944,1/12/2013,2013,black,33.30396476,26.82910573,24706683,308.6,0,0,11,delta_harnish_crescent_vg,0,0,0,0,0,0,0,0,4.5,7,3,0,0,0,0,32.2,9.4,0,0.7,2.8,0,0,4.7,40.2,0,0,70.3,0,26.6,0,4.7,50.5,0,0,0,9,0,0,0,0,0,0,0,2.2,0,0,14.7,0,0.5,0,0,0,0,0.2,0,13.5,0,0.7,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7
12VGG2010B02,1098,Von Guerard Gauge,VGG,-77.6092258,163.2552989,1/27/2010,2010,black,24.27312775,26.57342954,93741201,338.3,0,0,12,delta_harnish_crescent_vg,0,0,0,2.7,0,0,0,0,7.5,0,1,0,0,1,12.6,44.5,36.7,0,2,10.2,1.6,0,1,12.5,0,23,55,4,38.4,24,0,44.5,0,1,2,0,0.4,1,0,0,0,1,0,0,0,0,7.1,0,0.2,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08DEG2010B03,1147,Delta Gauge,DEG,-77.6531944,163.0995833,1/21/2010,2010,black,17.31277533,26.13778672,21715029,351.1,0,0,13,delta_harnish_crescent_vg,0,1,0,1.5,0,0,0,0,13,0,2,0,0,8,14,36,54.5,0,0,6,3.2,0,0,15.5,0,7.5,30,1,23.5,34,0,42.5,0,1,16,0,0,3,0,0,0,0,0,4,0,0,23.6,0,4.1,0,0,0,0,0.5,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09GRN2008O14,879,Green Creek Gauge,GRN,-77.624167,NA,1/7/2008,2008,orange,16.03524229,25.88218704,175385277,303.2,0,1.8,14,green_bowles,0,82.5,3.7,0,0,2.2,5.7,0,87.4,10,11.5,0,0,2,1.4,2.9,2.5,0,0.2,7,1.2,0,4.9,0,0,1.7,8.2,0,0,5.7,2.7,16.4,0,2.5,6.5,6,0.2,3,3.8,0,0,0,0,1.2,0,0,0.2,0,0.8,0.6,0,0.2,1.2,0.5,0,14.5,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2012B01,923,Von Guerard Gauge,VGG,-77.609226,163.255299,1/19/2012,2012,black,21.49779736,25.74574973,40636683,354.4,0,0,15,delta_harnish_crescent_vg,0,0,0,5.2,0,0,0,0,2,0,0,0,0,2,21,29,60,0,0,22.7,16,0,0,7,0,11,31,7,23,59.5,1.5,26,0,1,14,0,0.2,2,0,0,0,0.2,0,0,0,0,5,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09GRN2008O13,878,Green Creek Gauge,GRN,-77.624167,NA,1/7/2008,2008,orange,10.17621145,25.70347141,175385277,307.8,0,4.5,16,green_bowles,0,47.5,2.5,0,0,0.5,2,0,68,10.5,5.5,0,0,3,2.8,11.6,2,0,0,9.8,3.8,0,1.6,1,0,3.2,25.3,0,1.5,8.4,1,28.4,0,1,6,0,0,6.7,7.9,0.4,0,0,0,1.2,0,0,1.9,0,2.6,0,0,0,0,0.5,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06VGM2012O02,906,Von Guerard Middle,VGM,-77.613889,163.259444,1/11/2012,2012,orange,22.20264317,25.59446469,40636683,321.9,0,0,17,delta_harnish_crescent_vg,0,0,0,0,0,0,0,0,6,4,0,0,0,2,1.4,15.5,112,0,2,41,0.6,0,0,11,0,22,19,3,14,1,0,18,0,0,4,0,0.4,0,1,0,0,1.5,0,0,0,0,5.5,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2012B02,924,Von Guerard Gauge,VGG,-77.609226,163.255299,1/19/2012,2012,black,25.72687225,24.68675446,40636683,349.3,0,0,18,delta_harnish_crescent_vg,0,0,0,1.6,0,1,1,0,5,0,1,0,0,27,9,42.5,34,0,0,31,4.6,0,0,4,0,17,57,0,9.5,7,0,43,0,0,31,2,0,1,1,0,0,1,0,0,0,0,5.3,0,0,0,1,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03CAG2010B03,1166,Canada Gauge,CAG,-77.6136333,163.0522667,1/18/2010,2010,black,18.59030837,24.30808689,158136606,363.7,0,0,19,canada_huey,0,78,0,0.4,0,0,0.5,0,104.5,10,3,0,0,0,6.6,5.5,2.5,0,0,4.5,4.4,0,10,0,0,27,29,0,6,9,2,29.5,0,1,4,0,2,1,4,2.5,0,0,0,1,0,0,2.1,0,0.5,0,6.2,0,0,1.5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12VGG2010B03,1107,Von Guerard Gauge,VGG,-77.6092258,163.2552989,1/27/2010,2010,black,25.59471366,23.78531551,93741201,341.9,0,0,20,delta_harnish_crescent_vg,0,0,0,10.1,0,2,0,0,2,0,0,0,0,5,8,21.4,53.7,0,1,18,6.4,0,2,6,0,14,38,16,46.5,24,0,32,0,2,1,0,0,2,0,0,0,17.5,0,0,0,0,3,0,1.6,0,0,0,0,1,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
