row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region,NDVI_01,NDVI_rescaled,NDVI_rescaledf_log1p,obs_sample_row,chl_a,chl_a_log1p,transect_name,mat_type,afdm,Ef_scores
1866,1927,0.6750182509422302,0.5158240613025814,1,canada_huey,1,150,5.017279836814924,31,19.44842419,3.0179058227960724,Canada Gauge,black,16.03524229,-1.737266274882183
498,896,0.5295081734657288,0.42494622847537217,0.7788499794014411,delta_harnish_crescent_vg,0.6818143116983604,102.27214675475406,4.637367705254158,182,1.87525043,1.0561397765427554,Delta Gauge,orange,2.995594714,1.1515734500160835
499,896,0.4998123347759247,0.4053399901318533,0.7311384541742324,delta_harnish_crescent_vg,0.616878665748095,92.53179986221426,4.538301483950111,189,1.149389369,0.7651837873812336,Von Guerard Gauge,orange,0.704845815,1.361156474616393
498,897,0.4549442529678345,0.37496758577799755,0.6572276044155891,delta_harnish_crescent_vg,0.5187660006978894,77.8149001046834,4.367102066611908,8,31.1515958,3.4704620855326698,Von Guerard Gauge,orange,15.99118943,-0.5875245260603169
689,451,0.3988211452960968,0.3356298428329591,0.5614997201565427,delta_harnish_crescent_vg,0.3960420632644651,59.406309489669766,4.10109356123452,158,3.227760892,1.441672512955615,Von Guerard Lower,orange,6.519823789,0.8738643806386355
1480,1542,0.37140750885009766,0.31583759117040283,0.5133355339441744,canada_huey,0.33609689016929045,50.414533525393566,3.939920885906233,150,3.639261613,1.5345552184455153,Canada Gauge,orange,8.370044053,0.806958597376596
690,452,0.3667435646057129,0.31243095024390427,0.5050455176923621,delta_harnish_crescent_vg,0.32589828169257046,48.88474225388557,3.9097151895461804,169,2.66574287,1.2990310078414475,Von Guerard Lower,orange,0.925110132,0.9766126971847907
1481,1542,0.3546767234802246,0.3035628454094206,0.48346510027038037,canada_huey,0.2995118195606946,44.92677293410419,3.8270482353446957,55,12.68480798,2.616286310972937,Canada Gauge,black,16.56387665,-1.4479694906195126
690,451,0.35384151339530945,0.30294611697095775,0.4819642996611812,delta_harnish_crescent_vg,0.29768547254505157,44.652820881757734,3.8210653988176473,18,24.68675446,3.245975468380277,Von Guerard Gauge,black,25.72687225,-1.9015506612555555
2153,1714,0.34548714756965637,0.2967561389798972,0.4669010689739965,canada_huey,0.2794170495831546,41.91255743747319,3.7591644972617537,114,6.554129981,2.022094431052474,Canada Gauge,orange,9.146135998,0.45577165984737567
