sim_id,alpha_q1_length,beta_q1_length,gamma_q1_length,alpha_q1_diff,beta_q1_diff,gamma_q1_diff,alpha_chi_sq,beta_chi_sq,gamma_chi_sq,chi_sq_tot
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-2639_2019-08-30_012201_20190830_012431,2,2,2,-7.135303248140161,3.1686226529707984,-3.7003769321067885,14.911870314768422,4.575382910895252,3.730122783233986,23.21737600889766
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-3278_2019-08-30_031511_20190830_031741,2,2,2,-8.660098061200054,10.599821067846797,2.952822005514072,21.966095480952948,51.20159246975909,2.3752303568020037,75.54291830751404
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4128_2019-08-30_054603_20190830_054824,2,2,2,-8.322642648018741,8.179209213824489,1.6422445450885803,20.28755652221153,30.486602930921524,0.7346946099464038,51.508854063079454
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-4947_2019-08-30_080857_20190830_081127,2,2,2,-8.753246286576925,10.63402856645904,1.836798477847367,22.441172498275517,51.53259891930631,0.9190819126308716,74.8928533302127
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5024_2019-08-30_082221_20190830_082450,2,2,2,-8.25295977913255,7.506892395259899,0.7580584515153426,19.949256059645325,25.680695517116213,0.1565440573310375,45.78649563409258
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-5865_2019-08-30_105120_20190830_105342,2,2,2,-8.830072513791087,12.720968658351296,4.618032275981481,22.836828360001146,73.7440126941763,5.8095852049362895,102.39042625911374
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9113_2019-08-30_202107_20190830_202340,2,2,2,-8.847086169419928,12.325124969986401,3.6604361219074057,22.924916480997094,69.2259721419644,3.6500336016168644,95.80092222457837
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-10_rep-9612_2019-08-30_214651_20190830_214923,2,2,2,-8.861320208379965,11.301456856478492,1.6445177300614766,22.99874342261681,58.20432582350992,0.7367299372926354,81.93979918341937
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-1351_2019-08-29_213642_20190829_213902,2,2,2,-8.551535395120712,7.772196636005552,-1.550035925174715,21.4188151545286,27.527955634481927,0.6545076478018519,49.60127843681238
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-4028_2019-08-30_052741_20190830_053012,2,2,2,-8.555395943680017,8.096891072494923,-0.9142746706401255,21.438158357075398,29.876037357156722,0.22771129540147436,51.5419070096336
SIM_METACOMM_nicheScaling-1_m-0.001_nu-0.001_w-100_rep-4253_2019-08-30_060707_20190830_060938,2,2,2,-8.476649476074087,7.755501968412635,-0.8488973477941251,21.045327915110118,27.40982262462771,0.1963096058822872,48.65146014562011
