row,col,NDVI,NDVI_log1p,NDVI_log1p_01,region
1866,1927,0.6750182509422302,0.5158240613025814,1,canada_huey
498,896,0.5295081734657288,0.42494622847537217,0.7788499794014411,delta_harnish_crescent_vg
499,896,0.4998123347759247,0.4053399901318533,0.7311384541742324,delta_harnish_crescent_vg
498,897,0.4549442529678345,0.37496758577799755,0.6572276044155891,delta_harnish_crescent_vg
689,451,0.3988211452960968,0.3356298428329591,0.5614997201565427,delta_harnish_crescent_vg
1480,1542,0.37140750885009766,0.31583759117040283,0.5133355339441744,canada_huey
690,452,0.3667435646057129,0.31243095024390427,0.5050455176923621,delta_harnish_crescent_vg
1481,1542,0.3546767234802246,0.3035628454094206,0.48346510027038037,canada_huey
690,451,0.35384151339530945,0.30294611697095775,0.4819642996611812,delta_harnish_crescent_vg
2153,1714,0.34548714756965637,0.2967561389798972,0.4669010689739965,canada_huey
2182,1417,0.3363215923309326,0.2899207589703252,0.450267260894638,canada_huey
1094,504,0.33012855052948,0.28527559209635756,0.4389633079073907,delta_harnish_crescent_vg
499,895,0.3290612995624542,0.28447290324411767,0.4370099750572929,delta_harnish_crescent_vg
1480,1541,0.32627150416374207,0.2823716250756746,0.43189654204752864,canada_huey
859,756,0.3249877393245697,0.28140320605542574,0.4295399069956863,delta_harnish_crescent_vg
1479,1541,0.31934040784835815,0.2771319206871436,0.41914578977489025,canada_huey
697,448,0.3190557360649109,0.2769161291463557,0.4186206638755857,delta_harnish_crescent_vg
1319,471,0.3175044357776642,0.275739368241879,0.4157570315664899,delta_harnish_crescent_vg
860,757,0.31687912344932556,0.27526463680963004,0.4146017788194283,delta_harnish_crescent_vg
1317,470,0.315741628408432,0.27440048263104017,0.4124988708995306,delta_harnish_crescent_vg
1792,177,0.31459495425224304,0.27352859860191026,0.41037715248918677,delta_harnish_crescent_vg
1478,1541,0.31260553002357483,0.27201411607891285,0.40669167902731573,canada_huey
858,756,0.31198570132255554,0.271541792080311,0.4055422847386271,delta_harnish_crescent_vg
2172,1411,0.31090718507766724,0.2707194052331274,0.4035410170748125,canada_huey
1316,470,0.30823707580566406,0.26868048722704974,0.3985793367066178,delta_harnish_crescent_vg
867,748,0.30815303325653076,0.2686162440938326,0.3984230018800458,delta_harnish_crescent_vg
689,448,0.30760082602500916,0.2681940275784938,0.3973955434981788,delta_harnish_crescent_vg
1481,1541,0.30668556690216064,0.26749382949559136,0.39569162059817553,canada_huey
1479,1543,0.303523987531662,0.26507135662459974,0.3897965644700452,canada_huey
859,754,0.29737356305122375,0.26034188472102715,0.37828745629309235,delta_harnish_crescent_vg
693,449,0.29447147250175476,0.25810248250177914,0.37283790020765195,delta_harnish_crescent_vg
1317,443,0.29313111305236816,0.2570664968548721,0.3703168426513068,delta_harnish_crescent_vg
760,486,0.2930153012275696,0.2569769336157326,0.3700988916772972,delta_harnish_crescent_vg
1315,440,0.29272693395614624,0.25675388951745004,0.3695561167739458,delta_harnish_crescent_vg
1859,1844,0.29201462864875793,0.25620272777987,0.36821487187596597,canada_huey
1622,177,0.28962141275405884,0.2543486968151168,0.3637031117108096,delta_harnish_crescent_vg
1623,177,0.28953221440315247,0.25427952811573984,0.3635347905832462,delta_harnish_crescent_vg
1477,1541,0.2890474796295166,0.2539035577468832,0.3626198715955193,canada_huey
696,448,0.2888101637363434,0.25371943905091543,0.36217182115088253,delta_harnish_crescent_vg
1481,1543,0.2877711355686188,0.2529129221175462,0.36020917271529734,canada_huey
760,487,0.28546983003616333,0.25112427800939385,0.35585653061264644,delta_harnish_crescent_vg
689,449,0.2854524552822113,0.25111076165065244,0.3558236387299828,delta_harnish_crescent_vg
1476,1541,0.28366488218307495,0.24971917601807783,0.3524372332476506,canada_huey
1588,171,0.282827764749527,0.24906683246725184,0.35084976372714816,delta_harnish_crescent_vg
863,755,0.2827284336090088,0.2489893980765093,0.35066132814748036,delta_harnish_crescent_vg
763,487,0.2826721966266632,0.24894555542543034,0.35055463762804817,delta_harnish_crescent_vg
1291,468,0.28174063563346863,0.2482190257321982,0.34878663709782814,delta_harnish_crescent_vg
864,761,0.28139257431030273,0.24794743522417853,0.34812572513971485,delta_harnish_crescent_vg
1480,1543,0.280365914106369,0.24714590747397067,0.3461752178162643,canada_huey
1315,471,0.28032052516937256,0.24711045687267483,0.3460889492404972,delta_harnish_crescent_vg
860,753,0.2790587544441223,0.24612445933997282,0.34368953710792827,delta_harnish_crescent_vg
1292,467,0.2790548801422119,0.24612143030962952,0.3436821660021044,delta_harnish_crescent_vg
1624,177,0.27889689803123474,0.24599790795668597,0.34338157596768104,delta_harnish_crescent_vg
1288,466,0.2786905765533447,0.24583656725542916,0.34298895547601316,delta_harnish_crescent_vg
860,754,0.2781732380390167,0.24543190078986676,0.3420042049113202,delta_harnish_crescent_vg
1477,1542,0.2776655852794647,0.24503465135332458,0.3410375035899858,canada_huey
1902,392,0.2774527966976166,0.24486809266560114,0.3406321851963249,delta_harnish_crescent_vg
1317,471,0.2772279977798462,0.2446921028363931,0.34020391624289925,delta_harnish_crescent_vg
1482,1542,0.2771536111831665,0.24463386048416216,0.3400621842385714,canada_huey
1791,178,0.2766820788383484,0.24426458664871628,0.3391635611775369,delta_harnish_crescent_vg
1327,412,0.2762865722179413,0.2439547460845499,0.3384095682067984,delta_harnish_crescent_vg
1318,442,0.27566996216773987,0.2434715011280684,0.3372335979095838,delta_harnish_crescent_vg
1534,1585,0.2756583094596863,0.243462366507343,0.33721136892921816,canada_huey
1318,443,0.27527934312820435,0.24316524726267197,0.3364883331235101,delta_harnish_crescent_vg
1313,470,0.2747955918312073,0.24278584562535688,0.3355650641887536,delta_harnish_crescent_vg
860,752,0.2746875584125519,0.24270109635473727,0.3353588279443344,delta_harnish_crescent_vg
862,755,0.27433860301971436,0.24242730128719558,0.3346925512193848,delta_harnish_crescent_vg
1316,471,0.2741691768169403,0.242294340183946,0.33436899210922905,delta_harnish_crescent_vg
1327,411,0.27405327558517456,0.24220337384642202,0.33414762671360554,delta_harnish_crescent_vg
1712,258,0.2732822000980377,0.24159797615299072,0.3326743993246205,delta_harnish_crescent_vg
1312,471,0.2728813588619232,0.24128311716601367,0.3319081940874422,delta_harnish_crescent_vg
1316,442,0.27201899886131287,0.24060540101811026,0.3302589806829613,delta_harnish_crescent_vg
1477,1540,0.27194929122924805,0.2405505987374735,0.3301256200479788,canada_huey
697,452,0.2718528211116791,0.2404747515501886,0.3299410469072186,delta_harnish_crescent_vg
694,449,0.27173125743865967,0.24037916699755904,0.3297084431453846,delta_harnish_crescent_vg
1792,178,0.27124500274658203,0.23999673739676636,0.32877780570100795,delta_harnish_crescent_vg
852,789,0.27079063653945923,0.23963925522386562,0.3279078774969438,delta_harnish_crescent_vg
794,416,0.2703634202480316,0.23930301721081682,0.32708964667872936,delta_harnish_crescent_vg
1793,179,0.26977667212486267,0.23884103628672024,0.32596542212691426,delta_harnish_crescent_vg
1308,470,0.2694762051105499,0.23860437847417326,0.325389518427504,delta_harnish_crescent_vg
736,489,0.269450306892395,0.23858397755430938,0.3253398730551644,delta_harnish_crescent_vg
1589,172,0.269382119178772,0.23853026174940692,0.32520915634470726,delta_harnish_crescent_vg
1588,170,0.2687930464744568,0.23806609148813965,0.3240796040694492,delta_harnish_crescent_vg
819,462,0.2687005400657654,0.237993179848699,0.323902174546071,delta_harnish_crescent_vg
692,449,0.26839515566825867,0.23775244442867124,0.3233163480420525,delta_harnish_crescent_vg
865,758,0.26794666051864624,0.23739878929321226,0.32245573288367557,delta_harnish_crescent_vg
853,790,0.26784130930900574,0.23731569779585157,0.32225353080885477,delta_harnish_crescent_vg
827,432,0.26707175374031067,0.23670853252178042,0.3207760020354424,delta_harnish_crescent_vg
1587,171,0.26683542132377625,0.2365219965511297,0.3203220691844003,delta_harnish_crescent_vg
1484,1547,0.2667141854763031,0.236426292210279,0.3200891739194929,canada_huey
1327,409,0.26668813824653625,0.2364057291678251,0.32003913402394546,delta_harnish_crescent_vg
1316,441,0.2665598690509796,0.23630446060249177,0.3197926982913501,delta_harnish_crescent_vg
853,746,0.26645228266716003,0.23621951321381754,0.3195859799292296,delta_harnish_crescent_vg
690,448,0.2660920023918152,0.23593499279701707,0.318893603206781,delta_harnish_crescent_vg
1477,1543,0.26597076654434204,0.23583923225817646,0.31866057118479835,canada_huey
859,757,0.26582369208335876,0.23572305026666643,0.31837784382416157,delta_harnish_crescent_vg
1324,393,0.26562947034835815,0.23556960343362676,0.3180044329578172,delta_harnish_crescent_vg
1479,1542,0.26556241512298584,0.23551662031071705,0.31787549921943087,canada_huey
761,489,0.2648716866970062,0.23497068359366238,0.31654696934073423,delta_harnish_crescent_vg
1483,1543,0.26475778222084045,0.23488062734025267,0.31632781862292986,canada_huey
1792,179,0.26462942361831665,0.23477913350622232,0.3160808347018991,delta_harnish_crescent_vg
869,809,0.26361769437789917,0.23397879299581825,0.3141332165110225,delta_harnish_crescent_vg
696,449,0.26340997219085693,0.23381439258955589,0.3137331502671403,delta_harnish_crescent_vg
1623,178,0.26284924149513245,0.2333704708400417,0.3126528724810726,delta_harnish_crescent_vg
853,743,0.2626447379589081,0.23320851952411295,0.3122587660665666,delta_harnish_crescent_vg
1318,470,0.262433260679245,0.23304101794176849,0.31185115315114637,delta_harnish_crescent_vg
2166,1740,0.26232853531837463,0.2329580593346663,0.3116492744630359,canada_huey
1847,1846,0.2618860602378845,0.2326074749700872,0.3107961319855342,canada_huey
1325,392,0.2612478733062744,0.2321016065048939,0.3095651076750142,delta_harnish_crescent_vg
764,487,0.2608797252178192,0.23180967195623325,0.3088546887594082,delta_harnish_crescent_vg
691,449,0.2607592046260834,0.23171408286106088,0.3086220739433555,delta_harnish_crescent_vg
1793,180,0.26041245460510254,0.23143901232241063,0.3079526933761029,delta_harnish_crescent_vg
1616,183,0.2602640688419342,0.2313212774508716,0.3076661871021744,delta_harnish_crescent_vg
1324,392,0.25850018858909607,0.22992068544550362,0.30425786472914607,delta_harnish_crescent_vg
1292,468,0.25836455821990967,0.22981290820440264,0.3039955902189819,delta_harnish_crescent_vg
1476,1542,0.2582387626171112,0.22971293567248896,0.3037523083668053,canada_huey
1591,176,0.258129745721817,0.22962628946387434,0.30354145594852255,delta_harnish_crescent_vg
792,430,0.2579619884490967,0.22949294196251688,0.30321695654361225,delta_harnish_crescent_vg
793,430,0.2579619884490967,0.22949294196251688,0.30321695654361225,delta_harnish_crescent_vg
1318,435,0.25762173533439636,0.22922242572920026,0.3025586588189739,delta_harnish_crescent_vg
